school_name,district_name,date,school_year,year,time,day_of_week,city,state,school_type,enrollment,killed,injured,casualties,shooting_type,age_shooter1,gender_shooter1,race_ethnicity_shooter1,shooter_relationship1,shooter_deceased1,resource_officer,weapon,weapon_source,lat,long,staffing,low_grade,high_grade,lunch,county,ulocale,presence_second_shooter
Indian River High School,Chesapeake City Public Schools,1/18/2006,2005-2006,2006,11:00:00,Wednesday,Chesapeake,Virginia,public,1836,0,0,0,targeted,19,m,Unknown,Unknown,0.0,0,Unknown,Unknown,36.79721,-76.24185,126.0,9,12,427.0,Chesapeake City,21.0,0
Will C. Wood High School,Vacaville Unified,1/23/2006,2005-2006,2006,09:45:00,Monday,Vacaville,California,public,2138,0,1,1,accidental,14,m,Unknown,student,0.0,0,small revolver,Unknown,38.34635,-121.97421,85.8,9,12,398.0,Solano County,23.0,0
Lakeview Centennial High School,Garland ISD,1/27/2006,2005-2006,2006,,Friday,Garland,Texas,public,2175,0,2,2,accidental,16,m,Unknown,student,0.0,0,small-caliber semiautomatic handgun,Unknown,32.85566,-96.57589,157.1,9,12,994.0,Dallas County,21.0,0
Westinghouse High School,Pittsburgh SD,2/21/2006,2005-2006,2006,07:45:00,Tuesday,Pittsburgh,Pennsylvania,public,562,0,1,1,targeted,23,m,Unknown,Unknown,0.0,1,AK-47,Unknown,40.4607,-79.90059,41.2,9,12,374.0,Allegheny County,11.0,0
Roseburg High School,Douglas County SD 4,2/23/2006,2005-2006,2006,07:45:00,Thursday,Roseburg,Oregon,public,2052,0,1,1,targeted,14,m,w,student,0.0,1,large-caliber handgun with hollow-point bullets,Unknown,43.208,-123.34712,92.0,8,12,689.0,Douglas County,33.0,0
Pine Middle School,Washoe,3/14/2006,2005-2006,2006,09:00:00,Tuesday,Reno,Nevada,public,868,0,2,2,indiscriminate,14,m,w,student,0.0,0,.38-caliber pistol,father,39.47981,-119.78186,40.0,7,8,286.0,Washoe County,12.0,0
Venice High School,Los Angeles Unified,6/5/2006,2005-2006,2006,15:10:00,Monday,Los Angeles,California,public,3210,1,0,1,targeted,21,m,b,Unknown,0.0,0,handgun,Unknown,33.99881,-118.44282,129.2,9,12,2063.0,Los Angeles County,11.0,0
Orange High School,Orange County Schools,8/30/2006,2006-2007,2006,13:00:00,Wednesday,Hillsborough,North Carolina,public,1150,0,2,2,indiscriminate,19,m,h,former student,0.0,0,"9 mm rifle, a Mossburg 12-gauge sawed-off shotgun",Unknown,36.09233,-79.09337,66.7,9,12,276.0,Orange County,41.0,0
South Hills High School,Fort Worth ISD,9/8/2006,2006-2007,2006,13:20:00,Friday,Fort Worth,Texas,public,1417,0,1,1,targeted,19,m,Unknown,resource officer,0.0,1,handgun,police issued weapon,32.65726,-97.36,86.7,9,12,921.0,Tarrant County,11.0,0
Platte Canyon High School,"Platte Canyon, School District No. 1, Of The County Of Park",9/27/2006,2006-2007,2006,11:40:00,Wednesday,Bailey,Colorado,public,476,1,0,1,targeted,53,m,w,Unknown,1.0,0,".40 S&W caliber Glock 22 pistol, Smith & Wesson .357-caliber revolver",Unknown,39.45566,-105.64543,26.2,9,12,82.0,Park County,43.0,0
Weston High School,Weston,9/29/2006,2006-2007,2006,08:10:00,Friday,Cazenovia,Wisconsin,public,119,1,0,1,targeted,15,m,w,student,0.0,0,"long-barrel shotgun, 22-pistol",father,43.48211,-90.19016,10.5,9,12,35.0,Sauk County,43.0,0
Memorial Middle School,Joplin R-VIII,10/9/2006,2006-2007,2006,07:45:00,Monday,Joplin,Missouri,public,699,0,0,0,indiscriminate,13,m,w,student,0.0,0,MAC 90 7.26 mm assault rifle,parent,37.08277,-94.51586,50.3,6,8,312.0,Jasper County,13.0,0
Henry Foss High School,Tacoma School District,1/3/2007,2006-2007,2007,07:30:00,Wednesday,Tacoma,Washington,public,1749,1,0,1,targeted,18,m,Unknown,student,0.0,0,handgun,Unknown,47.24114,-122.49364,85.4,9,12,884.0,Peirce County,12.0,0
Robert A. Taft Information Technology High School,Cincinnati City,1/8/2007,2006-2007,2007,10:45:00,Monday,Cincinnati,Ohio,public,745,0,0,0,targeted,16,m,Unknown,student,0.0,0,Unknown,Unknown,39.10911,-84.52183,46.0,9,12,397.0,Hamilton County,11.0,0
William L.Sayre High School,Philadelphia City SD,1/18/2007,2006-2007,2007,08:25:00,Thursday,Philadelphia,Pennsylvania,public,655,0,1,1,targeted,19,m,Unknown,Unknown,0.0,1,9 mm semi-automatic Ruger,Unknown,39.95793,-75.2374,40.4,7,12,572.0,Philadelphia County,11.0,0
Herbert Henry Dow High School,Midland Public Schools,3/7/2007,2006-2007,2007,10:57:00,Wednesday,Midland,Michigan,public,1593,0,1,1,targeted,17,m,w,girlfriend was student,1.0,0,.44 caliber handgun,Unknown,43.64091,-84.27414,78.6,8,12,201.0,Midland County,31.0,0
Chicago Vocational Career Academy,City Of Chicago Sd 299,4/9/2007,2006-2007,2007,14:30:00,Monday,Chicago,Illinois,public,2020,0,1,1,accidental,15,m,Unknown,student,0.0,0,9mm handgun,Unknown,41.7372,-87.57236,105.0,9,12,1930.0,Cook County,11.0,0
Springwater Trail High School,Gresham-Barlow Sd 10J,4/10/2007,2006-2007,2007,14:15:00,Tuesday,Gresham,Oregon,public,163,0,10,10,indiscriminate,15,m,Unknown,student,0.0,0,.270 Winchester rifle with scope,stepfather,45.48655,-122.40894,11.8,9,12,51.0,Multnomah County,21.0,0
